model_position,model_id,stratum,n_participants,n_cases,n_points,mae_db,rmse_db,bland_altman_bias_db,bland_altman_lower_loa_db,bland_altman_upper_loa_db,calibration_intercept,calibration_slope,r_squared,mae_db_ci95_low,mae_db_ci95_high,rmse_db_ci95_low,rmse_db_ci95_high,bland_altman_bias_db_ci95_low,bland_altman_bias_db_ci95_high,bland_altman_lower_loa_db_ci95_low,bland_altman_lower_loa_db_ci95_high,bland_altman_upper_loa_db_ci95_low,bland_altman_upper_loa_db_ci95_high,calibration_intercept_ci95_low,calibration_intercept_ci95_high,calibration_slope_ci95_low,calibration_slope_ci95_high,r_squared_ci95_low,r_squared_ci95_high
3,location_ridge,minus_1db_floor,16,49,533,12.37567459193744,12.779591458232103,12.37567459193744,6.122157929710195,18.629191254164684,-0.9999999999999984,3.581958719691371e-17,,11.624015987371324,12.869058443949774,11.959597019565003,13.292283392297938,11.624015987371324,12.869058443949774,5.630686882792498,6.543324760028051,17.084292503656876,19.46484825238047,-1.000000000000002,-0.9999999999999981,-6.668249257596972e-17,6.51503540193965e-17,,
3,location_ridge,above_floor,22,78,2353,6.579826138440894,7.962717582801006,-2.798567399390124,-17.412929864146736,11.815795065366487,11.18857836151796,0.5106412664293631,-0.12826128476364995,5.64806789509928,7.458323447388184,6.991662486062378,8.8114591430854,-5.091913632390223,-0.1061052173778656,-19.283457954141028,-14.478510950792213,7.8796745932958006,15.079458160620959,5.859354627269208,15.752998127107599,0.3289644967307556,0.7098723862134583,-0.725609602719838,0.1677430812394127
4,retfound_ridge,baseline_visit,22,41,1517,5.982962222341338,7.5730939196093425,-1.0166192428800096,-15.73038324464029,13.69714475888027,2.5564925534869007,0.9001961501379534,0.46923986155731223,5.148805816960021,6.902379186617242,6.5131435253581484,8.635778298217899,-3.0116335727845516,1.203761701983934,-17.33956159719845,-13.760813387662887,9.30518158735008,17.701889498121677,-0.5387609881840265,6.140646040038196,0.7804111720139961,1.0143022748598356,0.31917203804403205,0.5811741880855301
4,retfound_ridge,year_one_visit,20,37,1369,5.285626364416062,6.641458068352978,0.6090097988148168,-12.358141136843432,13.576160734473067,-1.2636804739479623,1.0402268778244919,0.6189843903024241,4.833334375658716,5.7348810375220065,6.118167470804826,7.142139288997525,-0.9982094277819102,2.262994809443276,-13.671594518064419,-10.401866532875824,11.247056632412853,15.323430206021355,-4.133999258245296,2.2063354752356834,0.9139040322551435,1.1518985969275346,0.5535097321854041,0.6547663638046943
4,retfound_ridge,minus_1db_floor,16,49,533,8.983739945052042,10.182158889672099,8.901811992473496,-0.7957387118867096,18.5993626968337,-0.9999999999999981,-1.4823224449355562e-17,,7.723333296331543,10.025359799125901,8.79373841609078,11.187036543982877,7.632318757934029,9.957513619361993,-1.8845183697401902,0.43843870943344937,16.079037079140186,20.09590724675773,-1.000000000000002,-0.9999999999999979,-4.8744918075461316e-17,4.8254509627212726e-17,,
4,retfound_ridge,above_floor,22,78,2353,4.897510749453745,6.2572790018316455,-2.3175277385719775,-13.712019226386328,9.076963749242374,7.705851712917927,0.6942959454922295,0.3032802841947603,4.456387118915801,5.34833222717076,5.728526633488556,6.799535785059693,-3.2620619520291436,-1.1851985996915368,-14.804293758699837,-12.426289527792555,7.311140859908076,11.153858079877164,5.504420394165716,10.48700522099134,0.5848944058446878,0.7798785488228865,0.04274215118890407,0.45124831009969363
5,location_retfound_ridge,baseline_visit,22,41,1517,5.924680704276037,7.533909048777909,-0.7433315867931507,-15.44258934553399,13.95592617194769,2.4018893142453535,0.8943747516575496,0.4747181935448137,5.044016241829913,6.896250544160721,6.395861373455912,8.67579961897641,-2.7615387125506063,1.5132524920058446,-17.200698689776324,-13.330080327783724,9.515017433406625,17.902384806266664,-0.7991445476630947,6.199186227185982,0.7665299951445979,1.014461990386032,0.31927625130271214,0.5884406699705454
5,location_retfound_ridge,year_one_visit,20,37,1369,4.998325196490455,6.323034234533085,0.696750950299133,-11.625426407772526,13.018928308370793,-1.9661941253934543,1.0775838921949377,0.6546440323679708,4.476872540094826,5.533480023813331,5.753625235754758,6.880702555510702,-0.801542785270691,2.212799793924397,-12.902758560822429,-9.840853489126534,10.771691329718623,14.822314101010948,-4.573363611264488,1.2878550606598655,0.9624511437398948,1.16776976714728,0.5957881418908727,0.6930147391015021
5,location_retfound_ridge,minus_1db_floor,16,49,533,8.786775681822226,9.948301965386847,8.690652283833915,-0.8078356086318781,18.18914017629971,-0.9999999999999984,4.165997043847023e-17,,7.514066826126532,9.775333121867625,8.567301219554224,10.934071040825861,7.368833129181723,9.704938608414015,-1.8058852829059089,0.2257354085263128,15.684771387511661,19.732651695791773,-1.000000000000002,-0.9999999999999979,-5.132032853214896e-17,5.421259651976238e-17,,
5,location_retfound_ridge,above_floor,22,78,2353,4.737397528249442,6.1185321897657845,-2.0424562828258277,-13.349286997730326,9.26437443207867,7.3514095837000255,0.7034273319485995,0.3338353869760511,4.261346059099862,5.23767957203161,5.520155910319153,6.74059301757844,-3.036509040740265,-0.8962391338989921,-14.601255889871792,-11.950925395772238,7.398913334610626,11.4121098428178,4.994531100589681,10.308718540599786,0.5881811743632801,0.7972516812703832,0.07361080475376999,0.48492138699798426
